ecoHydro,T1,SD1,T2,SD2,Change,PerDif,p.value
Great Basin-Colorado Plateau,258634.236850201,50101.2240511224,184996.890099,17621.1677075965,-73637.3467512007,-28.4716159963968,0.000000466231187882247
Middle Rockies,16529.0816983347,1956.1798920619,15832.1494585576,1291.67129502544,-696.932239777063,-4.21640023624107,0.402312098739607
Mojave-Sonoran Deserts,177.993628354244,35.8317583479847,184.287606138614,35.4571450395222,6.29397778437033,3.53606915178111,0.817344976051701
Northern Plains,13822.5481959407,891.864071924837,12908.7615750667,1692.825578004,-913.786620873965,-6.61084054778207,0.0684712521892404
Northern Rockies,3647.97532557879,153.402860501391,3213.93592157622,192.525853645217,-434.039404002575,-11.898090454702,0.0000000771338362305188
Pacific NW,29334.278722208,3245.46492447644,24873.9031791158,5566.25504112838,-4460.37554309223,-15.2053356597973,0.0168271594682328
Southern Plains,7005.79535722187,1275.15262838244,3962.58496646257,864.711253645177,-3043.2103907593,-43.4384710884002,0.000000114843711720995
Southern Rockies and Basins,32789.0726685009,4551.79883979612,26195.5357987282,2562.44351528869,-6593.53686977276,-20.1089458565472,0.00000967258306330706
