siteName,Latitude,Longitude,ecoHydro,ownAg,t1,t2,change,p.value
Humboldt River,40.964797,-117.276257,Great Basin-Colorado Plateau,Private,4617.02900345284,4446.60142463003,-3.69128239600301,0.845068164070972
Humboldt River,41.01603,-117.705233,Great Basin-Colorado Plateau,Private,2135.58063574453,1695.31489207099,-20.6157396402897,0.156700804474201
Layton Wetlands,41.027648,-112.027775,Great Basin-Colorado Plateau,Private,2000.55456211082,1124.07085811867,-43.8120369517615,0.00000156838800335388
Humboldt River,41.029175,-117.648049,Great Basin-Colorado Plateau,Private,2316.07683554259,1927.95059959869,-16.7579170944465,0.217126918696677
Caldwell Lake,41.154981,-105.793461,Southern Rockies and Basins,Private,1666.17082440147,1520.56627430879,-8.73887286707136,0.422758780613809
Ogden Bay WMA,41.178333,-112.195,Great Basin-Colorado Plateau,Private,2045.92722274044,1452.27586016923,-29.0162502347487,0.000029857650962209
Hutton Lake NWR,41.178731,-105.725694,Southern Rockies and Basins,Private,1662.71332286299,1553.94134165053,-6.54183614919059,0.581369497720999
Rock Creek,41.198266,-116.704147,Great Basin-Colorado Plateau,Private,189.430962179399,128.742549596715,-32.0372191982059,0.0135868612828775
South Willard Bay,41.322778,-112.159167,Great Basin-Colorado Plateau,Private,4473.92070303069,2646.24912346568,-40.8516757645464,0.0000122437109376577
Harold Crane WMA,41.345571,-112.16475,Great Basin-Colorado Plateau,Private,5979.18247185539,3754.22365989108,-37.2117563301909,0.0000122437109376577
Pilger Lake,41.375172,-105.830834,Southern Rockies and Basins,Private,1687.64901920983,1468.86780974944,-12.9636676210568,0.126977990314064
Bamforth Lake,41.389994,-105.738911,Southern Rockies and Basins,Private,1767.52318395182,1556.36372126651,-11.9466304375818,0.326477223736574
Bear River Bay,41.395918,-112.230713,Great Basin-Colorado Plateau,Private,7665.12286204569,5042.5638908996,-34.2141804945078,0.00000967258306330706
