climVar,ecoHydro,1983-2003 (T1),SD T1,2004-2020 (T2),SD T2,Change,% Dif,wilSig,lmSig
pr,Great Basin-Colorado Plateau,312.231202374189,76.9212378052365,320.85541726824,76.4462374468219,8.6242148940515,0.0283628760857667,0/12,0/12
pr,Middle Rockies,458.560727852455,89.5190026461297,460.225169729687,48.9624312222479,1.6644418772314,0.00993790281078669,0/5,0/5
pr,Mojave-Sonoran Deserts,165.239646224407,64.5065874372529,167.506257221204,75.6344051338449,2.26661099679723,0.013717113589792,0/1,0/1
pr,Northern Plains,372.672431801682,65.7603957985235,389.716150937404,58.0213281088184,17.0437191357212,0.0475997328789643,0/5,0/5
pr,Northern Rockies,695.504925468095,122.157202139397,666.889096396918,47.6702698384321,-28.6158290711773,-0.0411439632176838,0/1,0/1
pr,Pacific NW,942.725802500542,255.120942938279,925.766618339332,275.815680903533,-16.95918416121,-0.0177839394349318,0/2,0/2
pr,Southern Plains,388.335736638869,64.1469863296185,365.896005982988,63.9398602217137,-22.4397306558816,-0.059414244460441,0/2,1/2
pr,Southern Rockies and Basins,378.384565465377,72.9656511897829,377.736330205778,63.2635171340021,-0.648235259598632,-0.00344885167986765,0/7,1/7
