state,T1,SD1,T2,SD2,Change,PerDif,p.value
CA,15893.7906882666,2096.23582289604,13110.4439913361,3190.53657647575,-2783.34669693051,-17.5121640363949,0.0135868612828775
CO,22447.5323224978,3068.2517914994,14807.9716183085,1620.66503827654,-7639.56070418931,-34.0329644899659,0.00000000171408524956708
ID,32508.9929008405,4799.8747725914,29956.4257505737,3118.35648717387,-2552.5671502668,-7.85188011838045,0.136369979336102
MT,27638.2867463472,1450.07961347386,25268.8617363955,2113.92456665703,-2369.42500995168,-8.57298077734444,0.00163427401217674
NV,50977.8945336883,24735.9034391857,31040.4701294183,7827.99658471656,-19937.4244042701,-39.1099408609247,0.0207018920270105
OR,79759.1547616772,17853.7253659905,54480.8778438158,9158.23526596537,-25278.2769178613,-31.6932607841615,0.0000999688799252515
UT,124407.228508233,12743.6784048159,95846.568379914,8318.79052934781,-28560.6601283185,-22.9573960217501,0.00000000685634099826834
WY,8308.10198479013,1248.84961485631,7656.42915488413,1606.48763194824,-651.672829906003,-7.84382318728199,0.292198722370563
