blobID,T1,T2,change,pValue,ChangeCat,colorCode
1,889.968141771218,921.438030693069,0.0353606915178111,0.817344976051701,Stable_Increase,0
2,13624.2433794721,6992.07314997487,-0.486791819903189,0.0000122437109376577,SigDecrease,2
3,13658.2549421486,6667.1843138041,-0.51185679707665,0.000000334246623665581,SigDecrease,2
4,50648.3043056291,35247.7903396931,-0.304067711191356,0.0000122437109376577,SigDecrease,2
5,12289.8950553862,7578.25711329653,-0.383374953232391,0.0000000325676197417746,SigDecrease,2
6,1040.12054798577,949.660025675791,-0.0869711904885997,0.0684712521892404,NonSigDecrease,1
7,10520.2291376376,8088.64116789783,-0.231134506475758,0.00122419282889981,SigDecrease,2
8,2306.57591452738,1853.61906210477,-0.196376303753878,0.260359756840209,NonSigDecrease,1
9,4938.80070896065,3538.49919236364,-0.283530678623334,0.00685851274427954,SigDecrease,2
10,3586.35375283611,3464.917078933,-0.0338607628450149,0.872978811309476,NonSigDecrease,1
11,1890.08769096975,931.617572321431,-0.507103518650268,0.0000000325676197417746,SigDecrease,2
12,2376.61262799158,1874.27798186079,-0.211365807037431,0.000000238257849689825,SigDecrease,2
13,9063.3254102057,11653.2045287799,0.285753738430034,0.682660043646953,Stable_Increase,0
14,5210.891086027,4910.44157128178,-0.0576579916534582,0.0337951773200193,SigDecrease,2
15,4737.47679241372,3793.02118201924,-0.199358361376433,0.000000020569022994805,SigDecrease,2
16,9371.55439214772,5046.2936286693,-0.46153077520443,0.000145186448808831,SigDecrease,2
17,16457.4175168539,10790.6599977097,-0.344328477620558,0.0445226890079167,SigDecrease,2
18,918.427567290334,875.950169731122,-0.0462501334585752,0.901044523270083,NonSigDecrease,1
19,34832.5338261169,9114.74854877921,-0.738326571524202,0.00188177249544698,SigDecrease,2
20,49457.1846167389,24790.8833364317,-0.498740505984217,0.000348770067985163,SigDecrease,2
21,5210.95857309165,3733.21646722998,-0.283583545164307,0.156700804474201,NonSigDecrease,1
22,9083.54925180028,8363.60610690136,-0.079257911741518,0.957503822560089,NonSigDecrease,1
23,632.389044083396,486.368204653834,-0.230903493341206,0.0000678674913713591,SigDecrease,2
24,13657.6734143871,12137.6776848772,-0.111292434911258,0.118083439115962,NonSigDecrease,1
25,83094.2763704628,43359.3357679152,-0.478191066077712,0.0578875436833555,NonSigDecrease,1
26,842.634612794776,682.109135464453,-0.190504252843242,0.000208072808444948,SigDecrease,2
27,12503.0770757982,7851.19952786365,-0.372058615629829,0.00283464791244857,SigDecrease,2
28,18709.0944067238,17775.7768328126,-0.0498857696487837,0.631172590892391,NonSigDecrease,1
29,3181.0704268571,1009.25246672864,-0.682731806813285,0.00000356015506335083,SigDecrease,2
30,23146.2172212675,19891.0191941633,-0.140636286093141,0.118083439115962,NonSigDecrease,1
31,980.549286974702,663.743076472591,-0.323090552112435,0.0108956188846634,SigDecrease,2
32,17398.4224080156,15842.6655889827,-0.0894194187581134,0.789842685626712,NonSigDecrease,1
33,574628.733468252,439268.667093617,-0.235560908271416,0.00000000685634099826834,SigDecrease,2
34,4750.89322200665,5646.53603625316,0.188520931200431,0.533434832891386,Stable_Increase,0
35,36374.2629393692,30477.0193960103,-0.162126818987062,0.156700804474201,NonSigDecrease,1
36,6270.25022588818,5479.61351663016,-0.126093326545995,0.0871790202890358,NonSigDecrease,1
37,34140.6619860102,33514.3296296011,-0.0183456418233998,0.682660043646953,NonSigDecrease,1
38,47038.2309421823,46571.3924919297,-0.00992466002444804,1,NonSigDecrease,1
39,25553.6191449656,24746.5768280696,-0.0315823098214614,0.606048247505957,NonSigDecrease,1
40,9028.82414554538,8968.93691683976,-0.0066328934687657,0.631172590892391,NonSigDecrease,1
41,3806.99982816532,3672.9191997225,-0.0352194994732752,0.0108956188846634,SigDecrease,2
42,3566.205547828,3520.80435942773,-0.012730951088312,0.443784934717906,NonSigDecrease,1
43,5830.10967080848,5745.08082351584,-0.0145844335859382,0.901044523270083,NonSigDecrease,1
44,4171.35311266963,3551.55413061669,-0.148584635563562,0.179180466874141,NonSigDecrease,1
45,2253.31404913151,2088.5329865407,-0.0731283163366925,0.0279096325000368,SigDecrease,2
46,13504.2727484957,9572.66011860086,-0.291138419899937,0.0000000771338362305188,SigDecrease,2
47,6332.59257307662,6190.28618688857,-0.0224720577782117,0.275974818065063,NonSigDecrease,1
48,12944.6640767438,12170.8413935972,-0.059779278825539,0.000208072808444948,SigDecrease,2
49,73052.6014583829,64092.9919138001,-0.122646002547726,0.0531138179773964,NonSigDecrease,1
50,168988.540651834,91905.6259683812,-0.456142850788127,0.000029857650962209,SigDecrease,2
51,19258.3620438165,15193.767575063,-0.21105608356026,0.00000356015506335083,SigDecrease,2
52,1869.6295282695,1823.17388035425,-0.0248475150893959,1,NonSigDecrease,1
53,18239.876627894,16069.6796078811,-0.11898090454702,0.0000000771338362305188,SigDecrease,2
