Region,1983-2003 (T1),SD T1,2004-2020 (T2),SD T2,Change,% Dif,Num p sig
Great Basin-Colorado Plateau,1293171.18425101,250506.120255612,924984.450495002,88105.8385379826,-368186.733756004,-28.4716159963968,55/87
Middle Rockies,82645.4084916735,9780.89946030948,79160.7472927882,6458.35647512721,-3484.66119888533,-4.21640023624108,6/11
Mojave-Sonoran Deserts,889.968141771218,179.158791739924,921.438030693069,177.285725197611,31.4698889218516,3.53606915178111,0/1
Northern Plains,69112.7409797034,4459.32035962419,64543.8078753336,8464.12789001998,-4568.93310436983,-6.61084054778206,6/15
Northern Rockies,18239.876627894,767.014302506953,16069.6796078811,962.629268226084,-2170.19702001288,-11.898090454702,3/3
Pacific NW,146671.39361104,16227.3246223822,124369.515895579,27831.2752056419,-22301.8777154612,-15.2053356597973,3/7
Southern Plains,35028.9767861093,6375.76314191222,19812.9248323128,4323.55626822589,-15216.0519537965,-43.4384710884002,6/6
Southern Rockies and Basins,163945.363342505,22758.9941989806,130977.678993641,12812.2175764434,-32967.6843488638,-20.1089458565472,12/23
