Region,Hydroperiod,Ownership,Wetland Type,Wetland Area (ha)
Mojave-Sonoran Deserts,Seasonal,Private,wet,2.93
Mojave-Sonoran Deserts,Semi-permanent,Private,wet,4.63
Mojave-Sonoran Deserts,Temporary,Private,wet,4.68
Mojave-Sonoran Deserts,Seasonal,Public,wet,0.54
Mojave-Sonoran Deserts,Semi-permanent,Public,wet,0.81
Mojave-Sonoran Deserts,Temporary,Public,wet,13.39
Mojave-Sonoran Deserts,Seasonal,Public,wetMan,30.2
Mojave-Sonoran Deserts,Semi-permanent,Public,wetMan,85.47
Mojave-Sonoran Deserts,Temporary,Public,wetMan,42.01
