climVar,ecoHydro,1983-2003 (T1),SD T1,2004-2020 (T2),SD T2,Change,% Dif,wilSig,lmSig
irr_ha,Great Basin-Colorado Plateau,177327.340622583,21044.5224500822,190037.117697485,15390.9675510421,12709.7770749015,0.117885167644538,6/12,8/12
irr_ha,Middle Rockies,318727.598066584,41399.2136306847,331898.204442821,30029.2613745164,13170.6063762372,0.0305625146499427,0/5,1/5
irr_ha,Mojave-Sonoran Deserts,17502.0299266718,1564.01481991682,17819.2018080705,928.759684221921,317.171881398732,0.0181220054318034,0/1,1/1
irr_ha,Northern Plains,60406.0908168653,16043.9692849426,69228.3079079874,21119.320924154,8822.21709112209,0.193052335442051,0/5,2/5
irr_ha,Northern Rockies,177733.460031952,30457.7451800197,165648.537473196,22808.3019478094,-12084.922558756,-0.0679946395945,0/1,0/1
irr_ha,Pacific NW,422624.541719981,24409.8285236277,443526.295322146,19319.6214698016,20901.7536021647,0.0415656951492691,1/2,1/2
irr_ha,Southern Plains,297596.22717782,43386.9991505789,274869.812536942,39564.1202074564,-22726.4146408785,-0.0815322022428556,0/2,0/2
irr_ha,Southern Rockies and Basins,158699.353974054,27077.8696843395,160304.710117641,27941.3138854004,1605.35614358761,0.0664315249814014,2/7,3/7
